Model no.,lossf,kernel_size,stages,filters,stride,fc_layers,activation,optimizer,reg,batch_size,epochs,val_loss,val_acc(%),val_auc,val_f1s,val_mcc,val_sens,val_spec,test_loss,test_acc(%),test_auc,test_f1s,test_mcc,test_sens,test_spec
1,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,[3],"[18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
