Model no.,lossf,kernel_size,stages,filters,stride,fc_layers,activation,optimizer,reg,batch_size,epochs,val_loss,val_acc(%),val_auc,val_f1s,val_mcc,val_sens,val_spec,test_loss,test_acc(%),test_auc,test_f1s,test_mcc,test_sens,test_spec
72,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
